ID,Northern,Central
856,โอ ป้อ หนาน วัน นี้ หยัง มา แต่ง ตั๋ว เปิง ดี แต้ ว่า นุ่ง โสร่ง ผ้า ไหม ใส่ เสื้อ เมือง สี ขาว เอา ผ้า ต่อง เคียน แอว ซ้ำ มี ผ้า จฺว้าย ป้าด บ่า แถม เหมาะ เหมาะ,โอ พ่อ หนาน วัน นี้ ทำ ไม่ แต่ง ตัว เข้า ท่า จัง นุ่ง โสร่ง ผ้า ไหม สวม เสื้อ เมือง สี ขาว เอา ผ้า ขาว ม้า คาด เอว แล้ว มี ผ้า สไบ พาด บ่า อีก เข้า ท่า เข้า ท่า
857,งาน ปอย ล้อ ตุ๊ ลุง โมทย์ วัด ใต้ คน นัก ขนาด มี ตึง ญาติ พี่ น้อง ของ ตุ๊ ลุง ศรัทธา ญาติ โยม ของ เปิ้น มา กัน นัก ขนาด,งาน ฌาปนกิจ ศพ หลวง ลุง โมทย์ วัด ใต้ คน เยอะ มาก มี ทั้ง ญาติ พี่ น้อง ของ หลวง ลุง ศรัทธา ญาติ โยม ของ ท่าน มา กัน เยอะ มาก
858,โห้ะ ตั๋ว ตัน ไป เลิก กับ บ่า เอก เมื่อ ใด วัน ก่อน เฮา ยัง หัน สู เขา ไป แอ่ว งาน ลอย กระ ทง ตวย กั๋น อยู่ บ่ ใจ้ ก๊ะ,อ่าว เธอ เพิ่ง เลิก กับ เจ้า เอก ตอน ไหน วัน ก่อน เรา ยัง เห็น พวก เธอ ไป เที่ยง งาน ลอย กระ ทง ด้วย กัน อยู่ ไม่ ใช่ เหรอ
859,กิ๋น เข้า แลง กั๋น ล่า เปิ้น แก๋ง บะ หนุน เลย เอา มา ปั๋น หื้อ ลอง มา จิม ก่า ลำ หนา,กิน ข้าว เย็น กัน รึ ยัง ฉัน แกง ขนุน เลย เอา มา แบ่ง ให้ ลอง มา ชิม สิ อร่อย นะ
860,ป้า เพ็ญ กับ ป้า แก้ว ผิด หัว กั๋น ก๋าง กาด ลี เดือด นัน กั๋น ขนาด ย้อน ไป ลู่ ซื้อ ปลา ตั๋ว เดียว กั๋น,ป้า เพ็ญ กับ ป้า แก้ว ทะเลาะ กัน กลาง ตลาด เสียง ดัง มาก เพราะ ไป แย่ง ซื้อ ปลา ตัว เดียว กัน
861,เมื่อ แผว เดือน เจ็ด เหนือ บ้าน เฮา ก่อ จะ มี ป๋าเวณี ปี๋ ใหม่ เมือง เดือน นี้ ม่วน ขนาด,เมื่อ ถึง เดือน เจ็ด เหนือ บ้าน เรา ก็ จะ มี ประเพณี สงกรานต์ เดือน นี้ สนุก มาก
862,ลุง เป็ง ได้ ฮับ อุบัติเหตุ ถูก รถ จน เมื่อ วัน ตี้ ซาว ห้า ตี้ จน เป็น รถ พ่วง เป๋น ส่วน ตี้ พ่วง ติด กับ รถ เครื่อง,ลุง เป็ง ได้ รับ อุบัติเหตุ ถูก รถ ชน เมื่อ วัน ที่ ยี่ สิบ ห้า รถ ที่ ชน เป็น รถ พ่วง เป็น ส่วน ที่ พ่วง ติด กับ รถ เครื่อง
863,ต๋อน นี้ ตาง โฮง เฮียน เปิ้น ก่อ ขะ ใจ๋ ฟั่ง สอน ละ อ่อน เพราะ ปิด โฮง เฮียน ไป หลาย วัน กั๋ว เฮียน กั๋น บ่ ตัน,ตอน นี้ ทาง โรง เรียน เขา ก็ รีบ สอน นัก เรียน เพราะ โรง เรียน ปิด ไป หลาย วัน เกรง ว่า จะ เรียน ไม่ ทัน
864,วัน นี้ กิ๋น ก้วย เต๋ว เส้น หมี่ ลูก จิ๊น เนื้อ เปื่อย พิเศษ บ่า ใส่ ผัก ป้อม เน่อ คับ ป้า,วัน นี้ กิน ก๋วย เตี๋ยว เส้น หมี่ ลูก ชิ้น เนื้อ เปื่อย พิเศษ ไม่ ใส่ ผัก ชี นะ ครับ ป้า
865,วัน คราว แล้ว ไป แอ่ว กาด หลวง มา หัน ซิ่น ฮ้าน หั้น งาม ขนาด ว่า จะ ซื้อ มา หื้อ แม่ สัก กำ,วัน ก่อน ไป เที่ยว กาด หลวง มา เห็น ผ้า ถุง ร้าน นี้ สวย มาก คิด ว่า จะ ซื้อ มา ฝาก แม่ สัก หน่อย
866,วัน นี้ หนาว ขนาด เนาะ ผ่อ เลาะ แข้ง ปอ แตก ปอ ลาย หมด เนี่ย จะ ยะ อย่าง ใด หื้อ หาย ดี หา,วัน นี้ อา กาศ หนาว มาก เลย เนาะ ดู สิ ขา แตก ลาย ไป หมด เลย จะ ทำ ยัง ไง ให้ หาย ดี เนี่ย
867,แหม เดือน ก่อ จะ ปี๋ ใหม่ เมือง ละ จะ ได้ เล่น น้ำ ละ ฮ้อน ขนาด จะ เอา น้ำ ใส่ น้ำ โป้ ฮะ ใส่ แน่,อีก เดือน ก็ จะ สงกรานต์ ละ จะ ได้ เล่น น้ำ ละ ร้อน มาก จะ เอา ใส่ ถัง สาด แน่
868,ตี้ วัด เปิ้น มี งาน ปอย หลวง หั้น นะ โฮง ตาน นี่ มี นัก ขนาด ตัง หน้า วัด หั้น มี ผาม จ่าง ซอ ตวย หนา นิ,ที่ วัด เขา มี งาน บุญ ใหญ่ มี โรง ทาน เยอะ ด้วย ข้าง หน้า วัด การ แสดง ซอ ด้วย นะ
869,ไป เซาะ ซื้อ ดอก อะ หยัง ก่อ ได้ มา ปลูก พ่อง บ๋อ บ้าน จะ ได้ มี สี สัน อัน นี้ ผ่อ ตาง ใด ก่อ มี ก้า เก๊า ไม้,ไป หา ดอก ไม้ อะ ไร ก็ ได้ มา ปลูก บ้าง ไหม บ้าน จะ ได้ มี สี สัน อัน นี้ ดู ทาง ไหน ก็ มี แต่ ต้น ไม้
870,เปิ้น ใคร่ ได้ ดอก ตะ หล้อม ดอก หมะ ลิ ดอก เก็ด ตะ หวา จะ เอา ไป ดา ครัว ไป วัด,ฉัน อยาก ได้ ดอก บาน ไม่ รู้ โรย ดอก มะ ลิ ดอก พุด จะ เอา ไป ตก แต่ง ข้าว ของ ไป วัด
871,งาน ปี๋ ใหม่ เมือง มี ก๋าน แห่ ไม้ ก้ำ สะ หลี อ้าย ตั๋น จด เหล้า น้ำ ขาว เมา ฮาก หัว ปัก ขวิด ลง ป่า โข่ เป็น ดี อิ่น ดู ขนาด,งาน สงกรานต์ มี งาน แห่ ไม้ ค้ำ ต้น โพธิ์ พี่ ตั๋น ซัด เหล้า น้ำ ขาว เมา อ้วก หัว ปัก ขมำ ลง พง หญ้า น่า สงสาร มาก
872,จาว บ้าน เหนือ บ้าน ใต้ มา แอ่ว งาน วัด บ้าน เฮา กั๋น ทึด ทึด เฮา สอง คน ก้อ ไป กั๋น พ่อง บ๋อ,ชาว บ้าน เหนือ บ้าน ใต้ มา เที่ยว งาน วัน หมู่ บ้าน เรา กัน มาก มาย เรา สอง คน ก็ ไป กัน บ้าง มั้ย
873,หม้อ น้ำ มนต์ ก้อย ตือ ดี ดี ไป จ๋น แผว บ้าน เน้อ ไป นับ ได้ นับ สฺวะ ละ ไว้ กล๋าง ตาง หนา,หม้อ น้ำ มนต์ นี้ ค่อย ถือ ไป ให้ ดี จน ถึง บ้าน เลย นะ อย่า ได้ เผลอ ไป วาง ทิ้ง ไว้ กลาง ทาง นะ
874,ตะ วา ข้า ไป ปะ ซิ่น มา ผืน หนึ่ง งาม ขนาด ข้า ว่า ข้า ซื้อ ไป ดำ หัว แม่ อุ้ย สอน ปี๋ ใหม่ เมือง หนิ,เมื่อ วาน ฉัน ไป เจอ ผ้า ถุง ผืน หนึ่ง สวย มาก ฉัน ว่า จะ ซื้อ ไป ดำ หัว ยาย สอน สงกรานต์ นี้
875,ปี้ จะ ปิ้ก บ้าน แหม พูก ตั๋ว ใคร่ ได้ อะ หยัง พ่อง ก่อ เดว ปี้ จะ ซื้อ ละ เอา ไป หื้อ ตี้ บ้าน,พี่ จะ กลับ บ้าน พรุ่ง นี้ เธอ อยาก ได้ อะ ไร บ้าง มั้ย เดี๋ยว พี่ จะ ซื้อ แล้ว เอา ไป ให้ ที่ บ้าน
876,ตุ๊ เจ้า วัน นี้ เปิ้น ตึง เก่ง แต้ แต้ เก่ง ตึง งาน จีบ ผ้า แต่ง ผ้า จัด ดอก แต่ง ดอก เปิง เวลา มี งาน บ่า ต้อง จ้าง ตาง นอก มา จัด,พระ วัด นี้ ท่าน เก่ง จริง จริง เก่ง ทั้ง งาน จีบ ผ้า จัด ดอก ไม้ ถึง ว่า เวลา วัด มี งาน ไม่ ต้อง ได้ จ้าง งาน ข้าง นอก มา จัด งาน
877,แล้ว เรื่อง มัน เป๋น จะ ใด ไหน ลอง เล่า หื้อ ฟัง กำ ลอ ตะ วา มัน ได้ ยิน บ่า ค่อย ถี่,แล้ว เรื่อง มัน เป็น ยัง ไง ไหน เล่า ให้ ฟัง หน่อย ซิ เมื่อ วาน มัน ได้ ยิน ไม่ ค่อย ชัด
878,พี่ จอย เปิ้น เป๋น คน หมั่น ซอบ ซื้อ คัว มา ขาย ขาย หลาย หยั่ง ได้ กำ ไฮ ดี บ่า เดี่ยว ลวย ละ,พี่ จอย เขา เป็น คน ขยัน ชอบ ซื้อ ของ มา ขาย ขาย สิน ค้า หลาก หลาย ได้ กำ ไร ดี ตอน นี้ ร่ำ รวย แล้ว
879,หมู่ จาว บ้าน เปิ้น เข้า ไป เซาะ หา ไม้ ใน ป่า จะ เอา มา ก่อ หลัว หิง ไฟ พระ เจ้า เดือน สี่ เป็ง วัน พูก,พวก ชาว บ้าน เขา เข้า ไป หา ไม้ ใน ป่า จะ เอา มา ก่อ ฟืน ผิง ไฟ พระ เจ้า วัน เพ็ญ เดือน สี่ วัน พรุ่ง นี้
880,หวย ออก งวด แล้ว ซื้อ ไป จ้าด นัก บ่า ถูก ซัก บาท งวด นี้ เลย ซื้อ หน้อย แล่ง มา ถูก ใคร่ หุย,หวย ออก งวด ก่อน ซื้อ ไป ตั้ง เยอะ ไม่ ถูก สัก บาท งวด นี้ เลย ซื้อ นิด เดียว กลับ ถูก เสีย อย่าง นั้น อยาก กรี๊ด
881,ล่ะ อ่อน คน นี้ มัน หยัง มา หลึ่ง จะ อี้ สอน อะ หยัง ไป ก่อ ตึง บ่า ฟัง ใคร่ โดน ไม้ ค้อน ก้า,เด็ก คน นี้ ทำ ไม มัน ดื้อ อย่าง งี้ สอน อะ ไร ไป ก็ ไม่ เคย ฟัง อยาก โดน ไม้ เรอะ
882,อา หาร เกา หลี กับ อา หาร ญี่ปุ่น เปิ้น กึ้ด ว่า อา หาร ญี่ปุ่น ลำ เหลือ เปิ้น กิ๋น อา หาร ญี่ปุ่น เจื่อ ขนาด,อา หาร เกา หลี กับ อา หาร ญี่ปุ่น ฉัน คิด ว่า อา หาร ญี่ปุ่น อร่อย กว่า ฉัน กิน อา หาร ญี่ปุ่น บ่อย มาก
883,ปี้ สม สู มา เต๊อะ เจ้า น้อง ขอ ปี้ สม ขี่ รถ เครื่อง ไป บอก อ้าย คำ เรื่อง ประ ชุม ประ ปา หมู่ บ้าน กำ,พี่ สม ขอ โทษ นะ คะ น้อง ขอ พี่ สม ขี่ รถ เครื่อง ไป บอก พี่ คำ เรื่อง ประ ชุม ประ ปา หมู่ บ้าน หน่อย
884,เมื่อ ใด ข้า เจ้า จะ ปัน ร่ำ ปัน รวย กับ เขา พ่อง ซื้อ หวย กะ ปอ บ่า ถูก อย่าง เปิ้น,เมื่อ ไหร่ ฉัน จะ ร่ำ จะ รวย เหมือน เขา บ้าง ซื้อ ลอตเตอรี่ ก็ ไม่ เคย เหมือน คน อื่น บ้าง เลย
885,ป้า สม ไป อยู่ ตัง ใด ไหน มา บ่ ได้ หัน หน้า หัน ต๋า กั๋น จั๊ด เมิน มา ซื้อ ข้าว ที่ กาด ก๊ะ,ป้า สม ไป ที่ ไหน มา ไม่ ได้ เห็น หน้า กัน ตั้ง นาน มา ซื้อ ข้าว ที่ ตลาด หรอ
886,ไอ่ หน้อย หล่าย บ้าน เฮา นี้ ผะ หยา ม่อ ขนาด เฮียน กะ เก่ง หา ตัง กะ จ่าง อู้ กะ ม่วน,เด็ก ข้าง บ้าน เรา นี่ ฉลาด หลัก แหลม มาก เรียน ก็ เก่ง หา เงิน ก็ เป็น พูด ก็ เพราะ
887,ป้า จั๋น เมื่อ แลง วัน นี้ ที่ บ้าน ปู้น เยียะ หยัง กิ๋น กั๋น เอา มา สู่ บ้าน เพ้ กิ๋น กั๋น พ่อง เน้อ,ป้า จันทร์ เย็น วัน นี้ ที่ บ้าน ป้า จันทร์ ทำ กับ ข้าว อะ ไร กิน เอา มา แบ่ง ทาง นี้ บ้าง นะ
888,วัน นี้ ตั๋ว ไป ทาง ใด ก่อ ถ้า บ่ ได้ ไป อยู่ บ้าน กำ เน่อ เปื้อน เปิ้น ส่ง คัว มา ลอ ฮับ หื้อ เปิ้น กำ,วัน นี้ เธอ ไป ที่ ไหน ไหม ถ้า ไม่ ได้ ไป อยู่ ที่ บ้าน หน่อย นะ เพื่อ ฉัน ส่ง ของ มา ให้ รอ รับ ให้ ฉัน หน่อย นะ
889,แม่ วัน พูก ขอ ไป แอ่ว งาน สรง น้ำ พระ ธาตุ กับ เจ้า หมู่ เน้อ บ่า ต้อง ถ้า กิ๋น เข้า เน้อ,แม่ วัน พรุ่ง นี้ ขอ ไป เที่ยว งาน สรง น้ำ พระ ธาตุ กับ เพื่อน นะ ไม่ ต้อง รอ กิน กิน ข้าว นะ
890,ก้อย ก้อย หน่อง กิ่ง ซม ปู ลง มา เน้อ ไป ไป ฟั่ง หน่อง แฮง กิ่ง มัน ผ่อย กลั๋ว มัน หัก,ค่อย ค่อย โน้ม กิ่ง ชม พู่ ลง มา นะ อย่า รีบ โน้ม แรง เกิน กิ่ง มัน เปราะ กลัว มัน หัก
891,ปู่ แปะ เข้า โฮง ยา ย้อน เกี๊ยว หนัง ควาย จี่ บ่ ปุ๊ด แต่ เขี้ยว เก๊า ซี่ บน ได้ หลุด ออก มา แตน,ปู่ แปะ เข้า โรง พยาบาล เพราะ เคี้ยว หนัง ควาย จี่ ไม่ ขาด แต่ ฟัน กราม ซี่ บน ได้ หลุด ออก มา แทน
892,เอ ของ กิ๋น มัน มี หลาย อย่าง น่อ เฮา บ่า ฮู้ จะ ซื้อ อะ หยัง ไป กิ๋น ดี อั้น เอา อี้ ซื้อ คัว ไป เยียะ กิ๋น คน เดว ตี้ บ้าน ดี กว่า,เอ ของ กิน มัน มี หลาย อย่าง เนอะ เรา ไม่ รู้ จะ ซื้อ อะ ไร ไป กิน เลย งั้น เอา งี้ ซื้อ ของ ไป ทำ อา หาร คน เดียว ที่ บ้าน ดี กว่า
893,ผม ปา เจ้า หมู่ ไป กิ๋น เข้า ตอน ตี้ ร้าน ที่ ผม เกย มา กิ๋น ถะ แล้ว ร้าน อยู่ บ่ ไกล๋ โรง แรม เต้า ใด มอก เดิน หื้อ เหื่อ ย้อย เต้า อั้น,ผม พา พวก ไป กิน ข้าว กลาง วัน ที่ ร้าน ที่ ผม เคย กิน คราว ที่ แล้ว ร้าน อยู่ ไม่ ไกล เท่า ไหร่ แค่ พอ เดิน ให้ เหงื่อ ไหล เท่า นั้น เอง
894,ป้อ ลุง แอ็บ หมู ขาย เต้า ใด เจ้า น้อง อยาก ซื้อ สัก สาม แอ็บ ป้อ จ้วย อุ่น หื้อ น้อง ตวย เน้อ,พ่อ ลุง แอ็บ หมู ขาย เท่า ไหร่ คะ หนู อยาก ซื้อ สัก สาม แอ็บ พ่อ ช่วย อุ่น ให้ หนู ด้วย นะ
895,จะ ไป ไป ตาง นั้น เน้อ สะ ตาย มัน มื่น นา ระ วัง ผะ เลิด หน้า วำ หั้น เดว จะ ได้ เจ็บ เอา,อย่า ไป ทาง นั้น นะ พื้น มัน ลื่น ระ วัง ลื่น ล้ม หน้า ขมำ เดี๋ยว จะ ได้ รับ บาด เจ็บ
896,คน ต๋าย แล้ว ก็ ต้อง เอา ใส่ หล้อง ไว้ ก่อน จะ เอา ไป เผา ก็ ต่อย ฮ้อง บอก เปิ้น ตวย เน้อ ว่า ตาน ของ กิ๋น ไป แล้ว,คน ตาย แล้ว ก็ เอา ใส่ โลง ศพ ไว้ ก่อน จะ เอา ไป เผา ก็ เคาะ โลง บอก เขา ว่า ทำ บุญ ถวาย อา หาร ไป แล้ว
897,ตั๋ว ตั๋ว ยฺว่าม ขนม ใน ถุง นั้น หื้อ เปิ้น กำ เปิ้น ขี้ ค้าน ลุก ไป เอา,เธอ เธอ กอบ ขนม ใน ถุง นั้น ให้ ฉัน หน่อย ฉัน ขี้ เกียจ ลุก ขึ้น ไป หยิบ มา
898,เขา หื้อ มา จ้วย หล้ก กล้า บ่ หล้ก ปุ้น หนี ไป ไล่ ยับ แมง จอน เหีย ละ เอา เต้อะ ถ้า ยับ ได้ นัก เอา ไป ขาย ก็ ได้ หลาย บาท อยู่,เขา ให้ มา ช่วย ถอน กล้า ไม่ ถอน นู่น หนี ไป ไล่ จับ แมง กระ ชอน ไป ละ เอา เถอะ ถ้า จับ ได้ เยอะ เอา ไป ขาย ก็ ได้ หลาย บาท อยู่
899,ป้า เจ้า ซื้อ บ่า ก้วย เต้ด ห้า โล บ่า เขือ สาม โล ละ ก่อ บ่า ฟัก แก้ว แหม สิบ โล เจ้า,ป้า คะ ซื้อ มะ ละ กอ ห้า โล มะ เขือ สาม โล แล้ว ก็ ฟัก ทอง อีก สิบ โล ค่ะ
900,ตั๋ว วัน นี้ เปิ้น ใคร่ ไป แอ่ว ใน เวียง อะ ตั๋ว ปา เปิ้น ไป ได้ ก่อ เปิ้น บ่า ได้ ไป แอ่ว เมิน ละ,ตัว วัน นี้ เค้า อยาก ไป ใน ตัว เมือง อะ ตัว พา เค้า ไป ได้ มั้ย เค้า ไม่ ได้ ไป เที่ยว นาน แล้ว
901,ป้า ข้าง บ้าน ฮ้อง เพลง เสียง ดัง เหมือน หู เป็น ดี ใคร่ ไล่ หื้อ ไป ฮ้อง ใน ป่า เฮ่ว ปู้น,ป้า ข้าง บ้าน ร้อง เพลง เสียง ดัง หนวก หู จน อยาก จะ ไล่ ไป ร้อง ใน ป่า ช้า นู่น
902,ถ้า สู ได้ ไป กาด แลง หื้อ สู แว่ เอา จิ๊น หมู ตี้ บ้าน ป้า แก้ว มา หื้อ ข้า ตวย เน่อ,ถ้า คุณ ได้ ไป ตลาด นัด ตอน เย็น ให้ แวะ เอา เนื้อ หมู ที่ บ้าน ป้า แก้ว มา ให้ ฉัน ด้วย นะ
903,ตึก แถว แป๋ง ใหม่ ตาง ถนน หลวง เปิ้น ว่า มัน ตก ขึด บ่ มี ไผ่ มา เจ้า มา อยู่ ย้อน ว่า มัน ไป ถม หนอง เก่า,ตึก แถว สร้าง ใหม่ ริม ทาง ถนน หลวง เขา ว่า มัน เป็น กาละกิณี ไม่ มี ใคร มา เช่า มา อยู่ เพราะ ว่า มัน ไป ถม หนอง น้ำ เก่า
904,ลูก หื้อ ฟัง กำ แม่ หนา ถ้า ป๊ะ ใส่ ป้อ จาย ก่อ หื้อ เลือก คบ กับ คน ตี้ เขา ดี ดี หน้อย เอา คน ตี้ เขา บ่ หลาย ใจ๋ กั๋ว ว่า เขา จะ มา ละ ลูก ยาม ลูน,ลูก ฟัง คำ แม่ นะ ถ้า เจอ ผู้ ชาย ให้ เลือก คบ คน ที่ ดี ดี หน่อย คบ คน ที่ เขา ไม่ หลาย ใจ เพราะ กลัว ว่า เขา จะ ทำ ร้าย ลูก ใน ภาย หลัง
905,ลุง จั๋น ซื้อ เตี่ยว ใหม่ มา นุ่ง ก๋า หยัง มา หลม หฺลฺว่าย แต้ บ่ ได้ เอา ต้าย ขัด มา กา ว่า เลือก ขนาด มา บ่ จับ,ลุง จัน ซื้อ กาง เกง ใหม่ มา ใส่ เหรอ ทำ ไม มัน ดู หลวม โพรก ขนาด นั้น ไม่ ได้ คาด เข็ม ขัด มา หรือ ว่า เลือก ขนาด ไม่ ถูก
906,ของ กิ๋น หมู่ ยำ เตา ลาบ ส้า น้ำ ตก แก๋ง กับ เข้า อา หาร เมือง นี่ เขา ตึง บ่ ใจ้ กิ๋น บ่ ใจ้ ฮู้ จัก กั๋น,ของ กิน เช่น ยำ เตา ลาบ พล่า น้ำ ตก แกง กับ ข้าว อา หาร เมือง พวก เขา คง ไม่ รู้ จัก รับ ประ ทาน กัน
907,แม่ ก๊า เจ้า เอา ข้าว สาร ลิตร นึ่ง ละ ก่อ เอา หอม เตียม หอม ปั่ว อย่าง ละ ถุง ตวย เน่อ,แม่ ค้า คะ ขอ ข้าว สาร หนึ่ง ลิตร แล้ว ก็ กระ เทียม หอม แดง อย่าง ละ หนึ่ง ถุง ด้วย นะ
908,บะ ก้วย ก๋า แก่น นี้ มัน หยัง มา จ๋าง แจ๊ะ แผ้ะ จะ อี้ บะ ล้ำ บะ เหลือ กิ๋น ละ บ่า ลำ ซัก หน้อย,ฝรั่ง ลูก นี้ ทำ ไม มัน จืด ชืด มาก ขนาด นี้ กิน ละ ไม่ อร่อย ซัก นิด
909,อ้าย ถา เดือด เมีย ตัว เก่า ย้อน บ่ ซัก ตาก ตี้ นอน หมอน มุ้ง จน สี ตี้ นอน หม่น โขก โหลก,พี่ ถา โวย วาย เมีย ตัว เอง เพราะ ไม่ ซัก ตาก ที่ นอน หมอน มุ้ง จน สี ของ ที่ นอน หมอง สกปรก
910,ก๋าน ตี้ มี อา สา สมัคร ใน โฮง บาล ช่วย ยะ หื้อ งาน หลาย อย่าง สะ ดวก ขึ้น นัก,การ ที่ มี อา สา สมัคร ใน โรง พยาบาล ช่วย ทำ ให้ งาน หลาย อย่าง สะ ดวก ขึ้น อย่าง มาก
911,วัน เกิด ปี๋ นี้ ใคร่ ได้ อะ หยัง เป๋น พิเศษ ก่อ กะ ว่า จะ เอา เป๋น ซะ ตาง แตน,วัน เกิด ปี นี้ อยาก ได้ อะ ไร เป็น พิเศษ ไหม หรือ ว่า จะ เอา เป็น เงิน แทน
912,แม่ ตะ วา น้อง ไป แอ่ว หา ป้า จั๋น บ้าน เหนือ ป้า เปิ้น จ๋ำ น้อง บ่า ได้ ถาม น้อง ว่า เป๋น ลูก ใผ,แม่ เมื่อ วาน หนู ไป เยี่ยม ป้า จันทร์ ที่ อยู่ ทาง ทิศ เหนือ ของ หมู่ บ้าน ป้า จำ หนู ไม่ ได้ ถาม หนู ว่า เป็น ลูก ใคร
913,แม่ อุ้ย ขั้ว กะ หล่ำ หยัง มา ลำ แต่ ลำ ว่า ขอ สอน กำ ลอ จะ ได้ เอา ไป ขั้ว หื้อ แม่ ลอง จิม พ่อง,ยาย ผัด กะ หล่ำ ทำ ไม อร่อย ขนาด นี้ ขอ สอน หน่อย ได้ ไหม จะ ได้ เอา ไป ผัด ให้ แม่ ลอง ชิม บ้าง
914,ต๋อน เฮา เฮียน อยู่ เฮา ก่อ อิ๊ด กับ ก๋าน เฮียน ขนาด แต่ เวลา ไป ยะ ก๋าน แต้ แต้ แล้ว มัน ตึง มี เรื่อง หื้อ อิ๊ด ใจ๋ นัก เหลือ หั้น แหม,ตอน เรา เรียน อยู่ เรา ก็ เหนื่อย กับ การ เรียน มาก แต่ เมื่อ ตอน ที่ ไป ทำ งาน จริง จริง แล้ว มัน ก็ มี เรื่อง ให้ เหนื่อย ใจ มาก กว่า นั้น อีก
915,เดว ไป แป๋ง ปะ ตู๋ หื้อ ตวย เน้อ มัน บ่า ค่อย ดี เหมือน จะ หลุด เอา เหล็ก กน กับ มุย ไป ตวย เน้อ,เดี๋ยว ไป ซ้อม ประ ตู ให้ ด้วย นะ มัน ไม่ ค่อย ดี เหมือน จะ หลุด เอา ตะ ปู กับ ค้อน ไป ด้วย นะ
916,หัน เปิ้น ว่า วัด พระ สิงห์ เปิ้น จะ แป๋ง ศา ลา หัน ว่า มี ศรัทธา เก๊า มา เป๋น เจ้า ภาพ บริจาค สิบ กว่า ล้าน อี้ ว่า,เห็น เขา ว่า ที่ วัด พระ สิงห์ จะ สร้าง ศา ลา เห็น ว่า มี โยม อุปถัมภ์ หลัก มา เป็น เจ้า ภาพ บริจาค ตั้ง สิบ กว่า ล้าน งี้ นะ
917,เจ้า หมู่ เฮา เฮียน เก่ง ขนาด บ่า เด่ว เฮียน หมอ ตี้ ใน เวียง ปุ้น แต่ ยัง บ่า หมี แฟน ซัก เตื้อ เมา ก้า เฮียน หนัง สือ,เพื่อน เรา เรียน เก่ง มาก ตอน นี้ เรียน หมอ ที่ ใน เมือง นู่น แต่ ยัง ไม่ มี แฟน สัก ที มัว แต่ เรียน หนัง สือ
918,อิ ป้อ กับ แม่ ฮิ หา สะ ตัง ปอ อิ๊ด ปอ อ่อน ลูก ต้อง ตั้ง ใจ๋ เฮียน หนา จะ ไป ฮ้าย อย่าง คน อื่น เน่อ,พ่อ กับ แม่ ทำ งาน หา เงิน จน เหนื่อย ลูก ต้อง ตั้ง ใจ เรียน นะ อย่า ดื้อ เหมือน อย่าง คน อื่น นะ
919,เตว อะ หยัง ป่า ล้ำ ป่า เหลือ อิ ป้อ ตั๋ว เก่า กะ หา ไป ผ่า แข้ง มา หนิ เดี๋ยว แผล เปิด เน้อ,เดิน ไป เดิน มา บ่อย บ่อย ทำ ไม หละ พ่อ พ่อ เพิ่ง ผ่า ตัด หน้า แข้ง มา เดี๋ยว ก็ แผล เปิด หรอก
920,จะ เขียน หนัง สือ กะ เขียน หื้อ มัน ดี ดี ตั้ง ใจ๋ เขียน หื้อ มัน งาม งาม จะ ไป ขี้ ค้าน เขียน,จะ เขียน หนัง ก็ เขียน ให้ ดี ดี ตั้ง ใจ เขียน ให้ สวย สวย อย่า ขี้ เกียจ เขียน
921,วัน นี้ คุณ ครู สั่ง หื้อ ยะ แบบ ฝึก ฮัด วิ ชา คณิต ละ ก่อ วัน พูก คุณ ครู สั่ง หื้อ เกียม ใบ เต๋ย ไป เฮียน วิ ชา งาน บ้าน ตวย เจ้า,วัน นี้ คุณ ครู สั่ง ให้ ทำ แบบ ฝึก หัด วิ ชา คณิต แล้ว วัน พรุ่ง นี้ คุณ ครู สั่ง ให้ เตรียม ใบ เตย ไป เรียน วิ ชา งาน บ้าน ด้วย ค่ะ
922,ต๋อน อยู่ บ้าน ครู ใหญ่ เปิ้น หุม นุ่ง โสร่ง ป๋วย เสื้อ เวลา มี คน มา หา เตื้อ เปิ้น ก็ จะ เอา เสื้อ หม้อ ห้อม มา ใส่ เหีย เตื้อ,ตอน อยู่ บ้าน ครู ใหญ่ ท่าน ชอบ นุ่ง โสร่ง ไม่ ใส่ เสื้อ เวลา มี คน มา หา ที หนึ่ง ท่าน ก็ จะ เอา เสื้อ หม้อ ห้อม มา ใส่ ที หนึ่ง
923,กิ๋น เข้า แล้ว เอา ฝา ควบ ไว้ โตย เน้อ แมง งน มัน นัก เดว แมง งน มัน จะ เข้า ไป ใน แก๋ง,กิน ข้าว แล้ว เอา ฝา ควบ ไว้ ด้วย นะ แมลง วัน มัน เยอะ เดี๋ยว แมลง วัน มัน จะ เข้า ไป ใน แกง
924,หน้า หนาว หนี้ ตี้ วัด ต้น เกว๋น เปิ้น มี งาน ดัง หลัว หิง ไฟ พระ เจ้า เฮา ไป แอ่ว งาน บ๋อ,หน้า หนาว นี้ ที่ วัด ต้น เกว๋น เขา จะ มี งาน ดัง หลัว หิง ไฟ พระ เจ้า เรา ไป เที่ยว งาน กัน ไหม
